time,sat,load
0,STARLINK-1294,1
0,STARLINK-2437,2
0,STARLINK-2626,2
0,STARLINK-2575,1
0,STARLINK-3701,2
0,STARLINK-4115,2
0,STARLINK-5163,0
0,STARLINK-6268,1
0,STARLINK-6186,3
0,STARLINK-30546,0
0,STARLINK-31701,0
0,STARLINK-31858,5
0,STARLINK-33947,2
0,STARLINK-34348,2
0,STARLINK-34235,1
0,STARLINK-34632,0
0,STARLINK-34662,2
0,STARLINK-34664,2
0,STARLINK-34675,2
0,STARLINK-34748,2
0,STARLINK-34757,0
0,STARLINK-34722,0
0,STARLINK-34676,1
0,STARLINK-34631,1
0,STARLINK-34570,1
1,STARLINK-2626,2
1,STARLINK-2575,5
1,STARLINK-3701,2
1,STARLINK-5163,3
1,STARLINK-6186,0
1,STARLINK-30546,0
1,STARLINK-31701,1
1,STARLINK-31858,0
1,STARLINK-34235,1
1,STARLINK-34646,2
1,STARLINK-34649,0
1,STARLINK-34660,1
1,STARLINK-34604,2
1,STARLINK-34620,2
1,STARLINK-34748,2
1,STARLINK-34676,1
1,STARLINK-34578,1
1,STARLINK-34690,0
2,STARLINK-2626,2
2,STARLINK-2575,5
2,STARLINK-3701,5
2,STARLINK-5163,3
2,STARLINK-5086,0
2,STARLINK-6186,0
2,STARLINK-6227,0
2,STARLINK-30546,0
2,STARLINK-31701,1
2,STARLINK-31858,5
2,STARLINK-33875,1
2,STARLINK-34697,0
2,STARLINK-34693,0
2,STARLINK-34608,0
2,STARLINK-34644,2
2,STARLINK-34685,2
2,STARLINK-34736,2
2,STARLINK-34682,1
2,STARLINK-34654,1
2,STARLINK-34628,0
3,STARLINK-1298,0
3,STARLINK-2626,2
3,STARLINK-2575,9
3,STARLINK-3701,2
3,STARLINK-5163,0
3,STARLINK-5086,0
3,STARLINK-6186,0
3,STARLINK-6227,0
3,STARLINK-30546,0
3,STARLINK-31858,0
3,STARLINK-31910,7
3,STARLINK-33875,3
3,STARLINK-34666,1
3,STARLINK-34567,2
3,STARLINK-34633,0
3,STARLINK-34624,1
3,STARLINK-34651,0
3,STARLINK-34544,1
4,STARLINK-1200,0
4,STARLINK-1966,2
4,STARLINK-2575,9
4,STARLINK-3775,1
4,STARLINK-5163,1
4,STARLINK-5086,4
4,STARLINK-6268,1
4,STARLINK-6186,1
4,STARLINK-6227,0
4,STARLINK-31910,7
4,STARLINK-32001,1
4,STARLINK-33875,3
4,STARLINK-34163,2
4,STARLINK-33924,2
4,STARLINK-34338,0
4,STARLINK-34604,2
4,STARLINK-34658,1
4,STARLINK-34675,2
4,STARLINK-34667,2
4,STARLINK-34684,2
5,STARLINK-1298,0
5,STARLINK-4158,11
5,STARLINK-5086,6
5,STARLINK-6186,4
5,STARLINK-5860,0
5,STARLINK-6227,0
