user_id,time,sat,channel,data_rate
82,0,STARLINK-31858,11,256.5950597279211
82,1,STARLINK-2575,12,229.34284927074907
82,2,STARLINK-2575,12,137.8264904954455
82,3,STARLINK-2575,12,221.84939389905236
82,4,STARLINK-5086,21,242.40721086031164
82,5,STARLINK-5086,21,54.79433711420249
82,6,STARLINK-5086,21,32.627051321300094
82,7,STARLINK-4158,8,253.6270181154059
82,8,STARLINK-4158,8,227.64951995288575
82,9,STARLINK-4158,8,159.13705618499168
82,10,STARLINK-34160,23,179.2182634904105
82,11,STARLINK-34160,23,156.19923782186615
84,0,STARLINK-31858,0,256.5950597279211
84,1,STARLINK-2575,0,229.34268127886193
84,2,STARLINK-2575,0,137.84462617534035
84,3,STARLINK-2575,0,221.84939389905236
84,4,STARLINK-2575,0,178.23628256155922
84,5,STARLINK-4158,14,230.77470387724748
84,6,STARLINK-4158,14,245.26433732702935
84,7,STARLINK-4158,14,253.6270181154059
84,8,STARLINK-4158,14,227.64999896762046
84,9,STARLINK-34160,21,81.68047309826548
84,10,STARLINK-34160,21,179.0541434811823
80,0,STARLINK-31858,23,256.5950597279211
80,1,STARLINK-2575,20,229.34284927074907
80,2,STARLINK-2575,20,137.84462617534035
80,3,STARLINK-2575,20,221.84939389905236
80,4,STARLINK-5086,24,242.40721086031164
80,5,STARLINK-5086,24,196.49593542695874
80,6,STARLINK-5086,24,24.677352241652105
80,7,STARLINK-4158,9,96.85198302636145
80,8,STARLINK-4158,9,78.28084062078852
80,9,STARLINK-4158,9,30.147959767389626
80,10,STARLINK-34160,8,179.0541434811823
80,11,STARLINK-34160,8,156.09863449844676
81,0,STARLINK-31858,18,256.5950597279211
81,1,STARLINK-2575,18,229.34284927074907
81,2,STARLINK-2575,18,137.84462617534035
81,3,STARLINK-2575,18,221.84939389905236
81,4,STARLINK-5086,10,242.40721086031164
81,5,STARLINK-5086,10,196.49593542695874
81,6,STARLINK-5086,10,152.10793152699145
81,7,STARLINK-4158,5,253.6270181154059
81,8,STARLINK-4158,5,227.64986938518734
81,9,STARLINK-4158,5,53.07574021087806
81,10,STARLINK-34160,10,179.2182634904105
81,11,STARLINK-34160,10,156.19943374129173
83,0,STARLINK-31858,1,256.5950597279211
83,1,STARLINK-2575,5,229.34284927074907
83,2,STARLINK-2575,5,137.84448530765053
83,3,STARLINK-2575,5,221.84939389905236
83,4,STARLINK-2575,5,178.23652577151822
83,5,STARLINK-4158,1,230.77436856797593
83,6,STARLINK-4158,1,245.26433732702935
83,7,STARLINK-4158,1,253.62433592900987
83,8,STARLINK-4158,1,97.02268459719008
83,9,STARLINK-34160,4,81.68047309826548
83,10,STARLINK-34160,4,179.0541434811823
83,11,STARLINK-34160,4,156.09863428724893
83,12,STARLINK-34160,4,21.12081612431968
85,1,STARLINK-2575,1,229.34284927074907
85,2,STARLINK-2575,1,137.84449518278396
85,3,STARLINK-2575,1,221.84860563872192
85,4,STARLINK-2575,1,178.23652577151822
85,5,STARLINK-4158,22,230.77470387724748
85,6,STARLINK-4158,22,245.26433732702935
85,7,STARLINK-4158,22,253.62701810493087
85,8,STARLINK-4158,22,97.0227028187823
85,9,STARLINK-34160,1,104.61790746344593
85,10,STARLINK-34160,1,89.55684772254442
85,11,STARLINK-34160,1,156.20067562186856
85,12,STARLINK-34160,1,136.1140463466329
85,13,STARLINK-31744,6,67.12621238511012
86,1,STARLINK-2575,20,229.34284927074907
86,2,STARLINK-33875,4,76.31659333910223
86,3,STARLINK-33875,4,39.95774201986892
86,4,STARLINK-33875,4,44.45085489174538
86,5,STARLINK-4158,9,230.77470387724748
86,6,STARLINK-4158,9,245.26433732702935
86,7,STARLINK-4158,9,96.85198302636145
86,8,STARLINK-33918,1,47.87935340511097
86,9,STARLINK-33918,1,34.46086616453186
86,10,STARLINK-33918,1,43.726576133473934
86,11,STARLINK-34160,14,156.20554618628245
86,12,STARLINK-34160,14,21.135093402363392
88,1,STARLINK-2575,4,229.34230259692805
88,2,STARLINK-2575,4,51.4814517015574
88,3,STARLINK-2575,4,106.88118567779914
88,4,STARLINK-2575,4,88.40706154621515
88,5,STARLINK-4158,21,89.07197545340459
88,6,STARLINK-4158,21,125.7791248677694
88,7,STARLINK-4158,21,253.6270181154059
88,8,STARLINK-4158,21,227.62900686277334
88,9,STARLINK-4158,21,53.07124530798412
88,10,STARLINK-34165,6,31.175098834678245
88,11,STARLINK-34165,6,50.273062930133456
89,1,STARLINK-2575,12,229.34284927074907
89,2,STARLINK-33875,15,162.67976781288516
89,3,STARLINK-33875,15,154.92595024112214
89,4,STARLINK-33875,15,134.27778687465548
89,5,STARLINK-4158,14,230.77470387724748
89,6,STARLINK-4158,14,245.26433732702935
89,7,STARLINK-4158,14,253.6270181154059
89,8,STARLINK-33918,22,47.87936051393425
89,9,STARLINK-33918,22,34.46086616453186
89,10,STARLINK-33918,22,43.722873101637894
89,11,STARLINK-34160,13,156.20554618628245
89,12,STARLINK-34160,13,136.11318871516588
87,1,STARLINK-2575,13,229.3421170266913
87,2,STARLINK-2575,13,137.84462617534035
87,3,STARLINK-2575,13,221.84939389905236
87,4,STARLINK-2575,13,178.2361838461199
87,5,STARLINK-4158,4,230.77470375977754
87,6,STARLINK-4158,4,245.26433732702935
87,7,STARLINK-4158,4,253.6270181154059
87,8,STARLINK-4158,4,227.62818110910544
87,9,STARLINK-4158,4,53.07124530798412
87,10,STARLINK-34160,17,89.55684772254442
87,11,STARLINK-34160,17,156.20554618628245
66,6,STARLINK-4158,18,245.263568873462
66,7,STARLINK-4158,18,253.6270181154059
66,8,STARLINK-34165,18,154.61990877027114
66,9,STARLINK-34165,18,117.16195305550916
66,10,STARLINK-34165,18,104.13570829717838
66,11,STARLINK-34165,18,50.273062930133456
66,12,STARLINK-32190,18,31.932644424946577
66,13,STARLINK-32190,18,53.66820280375245
66,14,STARLINK-32190,18,65.14187284794255
66,15,STARLINK-32190,18,17.744354782860352
66,16,STARLINK-31771,11,33.01243557190739
66,17,STARLINK-31771,11,62.018084345638364
65,6,STARLINK-4158,13,245.263568873462
65,7,STARLINK-4158,13,253.6270181154059
65,8,STARLINK-4158,13,78.28091053927555
65,9,STARLINK-4158,13,30.147996851895318
65,10,STARLINK-34160,3,179.17477264805495
65,11,STARLINK-34160,3,156.2053690531053
65,12,STARLINK-34160,3,136.1140463466329
65,13,STARLINK-34160,3,37.90161567398829
65,14,STARLINK-30906,7,38.65798505602059
65,15,STARLINK-30906,7,33.04945971658623
65,16,STARLINK-30906,7,112.83991818813871
69,6,STARLINK-4158,20,245.26433732702935
69,7,STARLINK-4158,20,253.6270181154059
69,8,STARLINK-4158,20,78.28091053927555
69,9,STARLINK-4158,20,30.147996851895318
69,10,STARLINK-34160,24,89.55684772254442
69,11,STARLINK-34160,24,155.10642964838166
69,12,STARLINK-34160,24,133.25130523052832
69,13,STARLINK-34160,24,28.89378648465978
69,14,STARLINK-33717,18,69.73233320446718
69,15,STARLINK-33717,18,138.21143538952106
69,16,STARLINK-33717,18,43.14123578234405
69,17,STARLINK-33717,18,46.04041190188065
67,6,STARLINK-33875,24,137.67096643533202
67,7,STARLINK-4158,15,253.62671318185744
67,8,STARLINK-4158,15,227.63721526890086
67,9,STARLINK-4158,15,159.13918305240844
67,10,STARLINK-34160,20,89.55549119431367
67,11,STARLINK-34160,20,156.20554618628245
67,12,STARLINK-34160,20,136.1140463466329
67,13,STARLINK-32190,24,26.8596373265692
67,14,STARLINK-32190,24,65.14187284794255
67,15,STARLINK-32190,24,17.744354782860352
67,16,STARLINK-31457,14,38.86524144740487
67,17,STARLINK-31457,14,28.38005054483462
68,6,STARLINK-33875,2,148.1675329367554
68,7,STARLINK-4158,12,253.62671318185744
68,8,STARLINK-4158,12,227.60765927300682
68,9,STARLINK-4158,12,159.13798215323843
68,10,STARLINK-34160,15,179.21197020376152
68,11,STARLINK-34160,15,155.10617989933596
68,12,STARLINK-34160,15,133.25130523052832
68,13,STARLINK-32190,12,53.66795886587004
68,14,STARLINK-32190,12,65.14186459954448
68,15,STARLINK-32190,12,17.744354782860352
68,16,STARLINK-30906,10,269.03490683636016
71,7,STARLINK-4158,3,253.6270181154059
71,8,STARLINK-33918,7,70.99627896949173
71,9,STARLINK-33918,7,117.59479999031954
71,10,STARLINK-33918,7,43.726576133473934
71,11,STARLINK-34160,12,156.20554618628245
71,12,STARLINK-34160,12,136.10848563079165
71,13,STARLINK-34160,12,58.31584872375405
71,14,STARLINK-33717,21,184.26640003721067
71,15,STARLINK-33717,21,194.1708778534861
71,16,STARLINK-33717,21,198.85771955652712
