timestamp,method,W,alpha,elapsed_sec,num_users,num_time_slots
2025-09-05T00:10:19,greedy,3,1.0,235.09603,100,40
2025-09-05T00:12:10,dp,3,1.0,340.369821,100,40
2025-09-05T00:38:17,mslb,3,1.0,1953.80295,100,40
2025-09-05T00:58:56,greedy,3,0.5,505.162283,100,40
2025-09-05T00:59:48,dp,3,0.5,573.739715,100,40
2025-09-05T01:03:02,ga,3,1.0,3346.912646,100,40
2025-09-05T01:12:48,greedy,3,0.0,334.408673,100,40
2025-09-05T01:14:57,dp,3,0.0,437.157986,100,40
2025-09-05T01:41:32,mslb,3,0.5,3033.627812,100,40
2025-09-05T02:09:49,ga,3,0.5,4742.259876,100,40
2025-09-05T03:13:45,greedy,4,1.0,499.834662,100,40
2025-09-05T03:16:20,dp,4,1.0,664.884798,100,40
2025-09-05T03:26:28,mslb,3,0.0,3133.545986,100,40
2025-09-05T03:31:56,mslb,4,1.0,1563.575625,100,40
2025-09-05T03:56:19,ga,3,0.0,4915.742054,100,40
2025-09-05T04:18:25,ga,4,1.0,4368.299805,100,40
2025-09-05T12:35:54,greedy,2,1.0,491.079917,100,40
2025-09-05T12:35:57,dp,2,1.0,483.764027,100,40
2025-09-05T12:46:31,greedy,3,0.25,401.534571,100,40
2025-09-05T12:47:50,dp,3,0.25,499.646364,100,40
2025-09-05T13:47:51,mslb,3,0.25,4029.30348,100,40
2025-09-05T14:07:59,ga,2,1.0,6025.737658,100,40
2025-09-05T14:13:02,ga,3,0.25,5555.99898,100,40
2025-09-05T14:27:11,mslb,2,1.0,7191.223972,100,40
2025-09-05T14:47:29,greedy,3,0.75,199.644328,100,40
2025-09-05T14:48:41,dp,3,0.75,282.743403,100,40
2025-09-05T15:21:09,mslb,3,0.75,2195.208031,100,40
2025-09-05T15:40:03,ga,3,0.75,3343.922857,100,40
2025-09-05T22:59:56,greedy,3,1.0,433.979615,125,40
2025-09-05T23:00:58,dp,3,1.0,507.800984,125,40
2025-09-05T23:30:49,mslb,3,1.0,2269.165508,125,40
2025-09-05T23:48:49,ga,3,1.0,3354.497511,125,40
2025-09-05T23:59:24,greedy,3,1.0,384.295901,110,40
2025-09-06T00:01:42,dp,3,1.0,513.233393,110,40
2025-09-06T00:35:48,mslb,3,1.0,2585.990533,110,40
2025-09-06T00:57:53,ga,3,1.0,3904.978715,110,40
2025-09-06T01:14:36,greedy,3,1.0,366.522064,120,40
2025-09-06T01:15:47,dp,3,1.0,448.840818,120,40
2025-09-06T02:04:53,mslb,3,1.0,3365.778719,120,40
2025-09-06T02:06:21,greedy,3,1.0,742.700852,200,40
2025-09-06T02:08:01,dp,3,1.0,853.819647,200,40
2025-09-06T02:21:22,greedy,3,1.0,490.369583,150,40
2025-09-06T02:23:18,dp,3,1.0,615.996703,150,40
2025-09-06T02:42:37,greedy,3,1.0,696.966829,150,40
2025-09-06T02:44:11,dp,3,1.0,779.663692,150,40
2025-09-06T02:58:00,greedy,3,1.0,707.276435,300,40
2025-09-06T03:01:23,dp,3,1.0,904.508315,300,40
2025-09-06T03:15:14,greedy,3,1.0,523.727938,250,40
2025-09-06T03:18:34,dp,3,1.0,735.074842,250,40
2025-09-06T03:24:14,mslb,3,1.0,4324.213789,200,40
2025-09-06T03:51:48,ga,3,1.0,5987.055308,200,40
2025-09-06T04:22:31,ga,3,1.0,6200.0,250,40
2025-09-06T14:35:58,mslb,3,1.0,3724.986206,150,40
2025-09-06T15:01:30,mslb,3,1.0,5364.070305,250,40
2025-09-06T15:05:34,mslb,3,1.0,5579.536235,300,40
2025-09-06T15:20:29,ga,3,1.0,6421.196316,150,40
2025-09-06T16:03:35,ga,3,1.0,9041.198632,300,40
2025-09-06T16:05:08,dp,3,1.0,343.763282,150,40
2025-09-09T03:28:39,greedy,3,0.25,350.304873,100,40
2025-09-09T03:28:57,dp,3,0.25,401.315477,100,40
2025-09-09T04:00:40,mslb,3,0.25,2250.779711,100,40
2025-09-09T04:15:00,ga,3,0.25,3119.16425,100,40
2025-09-13T04:36:30,hungarian,3,0.0,136.357579,100,40
2025-09-13T04:45:46,hungarian,3,1.0,111.016295,100,40
2025-09-13T04:52:00,hungarian,3,1.0,410.254943,150,40
2025-09-13T04:54:43,hungarian,3,1.0,556.925995,200,40
2025-09-13T04:57:37,hungarian,3,1.0,721.222139,250,40
2025-09-13T04:59:13,hungarian,3,0.75,744.218773,250,40
2025-09-13T05:00:19,hungarian,3,1.0,872.84524,300,40
2025-09-13T05:00:50,hungarian,3,0.75,852.692925,300,40
2025-09-13T05:02:56,hungarian,3,0.75,434.818826,150,40
2025-09-13T05:04:29,hungarian,3,0.75,265.113017,100,40
2025-09-13T05:05:11,hungarian,3,0.75,580.053496,200,40
2025-09-13T05:06:14,hungarian,3,0.5,277.248197,100,40
2025-09-13T05:07:58,hungarian,3,0.5,362.769369,150,40
2025-09-13T05:10:13,hungarian,3,0.5,487.268498,200,40
2025-09-13T05:14:20,hungarian,3,0.5,603.49563,250,40
2025-09-13T05:16:00,hungarian,3,0.25,289.735937,100,40
2025-09-13T05:17:17,hungarian,3,0.25,541.993273,200,40
